/etc/tejas/mem_watch_output.txt is not created so creating it. starting at Tue Feb 17 16:39:36 IST 2015
Memory Changes in every 5m interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 16348 45096 339496 0 269060 164532 0 0 1344 0 49016 47728 51212 44272 6940 1412 0 0 0 254572 657908 768988 17460 751488 
509144 13576 45096 341712 0 271824 164540 0 0 736 0 49572 47776 51080 44272 6808 1412 0 0 0 254572 658848 768988 17460 751488 
509144 17668 45096 337780 0 267840 164540 0 0 4 0 49520 47776 51072 44272 6800 1412 0 0 0 254572 658592 768988 17460 751488 
509144 16512 45096 339264 0 268424 164544 0 0 1736 1656 48624 47728 51732 44268 7464 1412 0 0 0 254572 657652 768988 17460 751488 
509144 14520 45096 340844 0 270232 165160 0 0 1508 0 49468 47732 51116 44268 6848 1412 0 0 0 254572 658556 768988 17460 751488 
509144 14940 45096 340432 0 270524 164548 0 0 904 0 49560 47776 51076 44272 6804 1412 0 0 0 254572 658848 768988 17460 751488 
509144 17172 45120 340852 0 268172 164556 0 0 4712 0 46772 47500 51068 44268 6800 1412 0 0 0 254572 655444 768988 17460 751488 
509144 15768 45120 340852 0 269652 164556 0 0 4 0 48252 47728 51188 44268 6920 1412 0 0 0 254572 657268 768988 17460 751488 
509144 18264 45120 337132 0 267188 164560 0 0 516 0 49512 47776 51100 44268 6832 1412 0 0 0 254572 658592 768988 17460 751488 
509144 7380 45120 340060 0 277908 164564 0 0 1332 0 57308 47808 51192 44268 6924 1448 0 0 0 254572 668196 768988 17460 751488 
509144 15752 45120 339932 0 269628 164564 0 0 784 0 49156 47728 51132 44268 6864 1412 0 0 0 254572 658164 768988 17460 751488 
509144 18008 45120 337316 0 267364 164572 0 0 1804 0 49516 47776 51120 44268 6852 1412 0 0 0 254572 658592 768988 17460 751488 
509144 14132 45120 341572 0 271264 164572 0 0 88 0 49160 47728 51276 44268 7008 1412 0 0 0 254572 658164 768988 17460 751488 
509144 18852 45120 338600 0 266548 164576 0 0 892 0 47420 47728 51260 44268 6992 1412 0 0 0 254572 656500 768988 17460 751488 
509144 21488 45120 336508 0 263812 164576 0 0 4 0 46776 47500 51092 44268 6824 1412 0 0 0 254572 655444 768988 17460 751488 
509144 14544 45120 343464 0 270764 164580 0 0 2004 0 46776 47500 51100 44276 6824 1412 0 0 0 254572 655444 768988 17460 751488 
509144 9504 45120 340072 0 275732 164588 0 0 376 0 55144 47808 51184 44276 6908 1448 0 0 0 254572 665484 768988 17460 751488 
509144 15380 45120 340016 0 269984 164588 0 0 56 444 49452 47732 51152 44272 6880 1412 0 0 0 254572 658300 768988 17460 751488 
509144 12560 45120 342712 0 272812 164592 0 0 864 0 49588 47776 51120 44272 6848 1412 0 0 0 254572 658848 768988 17460 751488 
509144 16464 45120 338888 0 268844 164592 0 0 672 0 49444 47732 51168 44272 6896 1412 0 0 0 254572 658300 768988 17460 751488 
509144 17992 45120 338768 0 267320 164596 0 0 1276 0 48044 47728 51216 44272 6944 1412 0 0 0 254572 657012 768988 17460 751488 
509144 10428 45120 342760 0 274860 164600 0 0 8 0 51596 47808 51148 44272 6876 1448 0 0 0 254572 662416 768988 17460 751488 
509144 15784 45120 339484 0 269536 164604 0 0 1332 0 49552 47776 51104 44272 6832 1412 0 0 0 254572 658592 768988 17460 751488 
509144 15644 45120 340288 0 269628 164608 0 0 3144 0 48844 47728 51192 44272 6920 1412 0 0 0 254572 657908 768988 17460 751488 
509144 14032 45120 341708 0 271268 164612 0 0 500 0 49068 47728 51244 44272 6972 1412 0 0 0 254572 657908 768988 17460 751488 
509144 16852 45120 338600 0 268532 164616 0 0 2452 0 49444 47732 51160 44272 6888 1412 0 0 0 254572 658300 768988 17460 751488 
509144 16100 45120 339292 0 269224 164624 0 0 1532 0 49452 47732 51172 44276 6896 1412 0 0 0 254572 658300 768988 17460 751488 
509144 15868 45120 340872 0 269412 164628 0 0 872 0 48064 47728 51220 44272 6948 1412 0 0 0 254572 657012 768988 17460 751488 
509144 13032 45120 337804 0 272412 164632 0 0 16 0 54136 47808 51184 44272 6912 1448 0 0 0 254572 664504 768988 17460 751488 
509144 15544 45120 340168 0 269648 164632 0 0 1000 0 49008 47740 51108 44276 6832 1412 0 0 0 254572 658036 768988 17460 751488 
509144 15792 45144 339536 0 269580 164636 0 0 360 0 49552 47776 51100 44276 6824 1412 0 0 0 254572 658592 768988 17460 751488 
509144 19900 45144 338076 0 265344 164640 0 0 320 0 46780 47500 51084 44272 6812 1412 0 0 0 254572 655444 768988 17460 751488 
509144 13388 45144 341928 0 271904 164644 0 0 1964 0 49492 47732 51144 44272 6872 1412 0 0 0 254572 658556 768988 17460 751488 
509144 8892 45144 339356 0 276444 164644 0 0 244 0 56604 47808 51192 44272 6920 1448 0 0 0 254572 666940 768988 17460 751488 
509144 18984 45144 336424 0 266268 164648 0 0 24 0 49364 47728 51128 44272 6856 1412 0 0 0 254572 658164 768988 17460 751488 
509144 15388 45144 341216 0 269340 165236 0 0 1488 0 48232 47728 51132 44272 6860 1412 0 0 0 254572 657012 768988 17460 751488 
509144 17092 45144 338384 0 268124 164656 0 0 496 0 49268 47728 51280 44272 7008 1412 0 0 0 254572 658164 768988 17460 751488 
509144 20092 45144 336800 0 265184 164660 0 0 2372 0 47916 47728 51372 44272 7100 1412 0 0 0 254572 656756 768988 17460 751488 
509144 13288 45144 341944 0 272000 164660 0 0 528 0 49588 47776 51124 44272 6852 1412 0 0 0 254572 658848 768988 17460 751488 
509144 19784 45144 338140 0 265388 164664 0 0 1356 0 46784 47500 51068 44272 6796 1412 0 0 0 254572 655444 768988 17460 751488 
509144 10900 45144 338996 0 274216 164668 0 0 4 0 54760 47816 51220 44272 6948 1448 0 0 0 254572 664496 768988 17460 751488 
509144 14132 45148 341192 0 271128 164676 0 0 80 0 49480 47732 51148 44272 6876 1416 0 0 0 254572 658556 768988 17460 751488 
